,0
0,id: zqdxQWTdIM4
1,I'm going to show you the absolute best natural vitamin for arthritis and it's not vitamin D I took this for a different purpose and then I woke up and I'm like why is my neck so loose normally it's stiff from all the injuries so this nutrient is a precursor to Something in the cells called n a NAD is kind of like a helper molecule that helps you turn food into energy if you're deficient in NAD you get low carage repair you get inflammation you get joint pain you get fatigue you age faster you have more damage in your DNA and you develop a poor immune system the precursor for NAD that you need to take is called ni acetamide this is actually a version of vitamin B3 you'd want to take 100 to 150 migrs three to six times a day it's much better to space it out through the day than to take a large amount all at once make sure you have sufficient protein in no alcohol and watch your arthritis vanish to see the complete video on this go to my YouTube channel 
2,id: aYV9EWaiz_Y
3,I'm going to give you three tips to help you lose more weight while you're sleeping and by the way if you don't burn fat when you're awake at all and the last tip is going to be the most important tip number three let's go backwards you want to do a full body workout that intensity stimulates growth hormone which is the main hormone while you're sleeping that helps you burn fat exercise to the point where you have muscle fatigue and only do that twice a week number two make sure you have a comfortable mattress a really good pillow make sure your room is slightly cooler like about 68° crack the window open so you get fresh air while you're sleeping and if your dog is in your bed waking you up put the dog somewhere else now for the most important tip you want to be in bed between 9 and 9:30 and sleep until 6:00 this extra sleep will allow you to heal and repair build lean muscle which is at the heart of your metabolic rate hands down the most powerful thing you can do to get the weight off and for more tips on this check out Dr Berg on YouTube 
4,id: G4guVvCYAEA
5,the absolute number one most inflammatory food in the world is ultr processed foods now this is a group or a category of foods composed of primarily three ingredients yes it has preservatives and colorings and artificial flavorings and that type of thing but it's composed of synthetic sugars synthetic starches and synthetic oils and I'm talking about highly highly refined food particles that don't resemble the original food so you can even take corn for example turn into starch and then turn into a fiber and turn into a sugar and of course turn into an oil right if we were to eliminate ultrapress Foods in all these forms it's in cereals and cookies and bars and candy and chips we will eliminate 99% of all inflammation 
6,id: u0-U3-f4VHM
7,you know if you went to your kitchen right now and looked in your spice rack in your cupboard you probably would have this right here this is called ginger right well did you realize that Ginger is one of the most amazing things for bloating for any type of inflammation nausea motion sickness and immune system not to mention a lot of other things so if you have any of these problems you can use this in smoothies in a tea in various recipes I think a lot of people like have different things around the house but they don't even know what they actually do so if you have any of these symptoms you might want to start using more Ginger 
8,id: llDg68l626M
9,all right we're at our favorite restaurant KFC and let's see we got we have uh these things right here let's see if it bounces yeah it does all right so now we have our wonderful chicken right here right we have our tub delicious chicken highly addictive some of the first ingredient is MSG okay then they have mulle textured which is a another uh thing that will really spike your blood sugars and then when they cook this with oils they use seed oils you're going to create a lot of um inflammatory things but I want to just mention the MSG in here because there's some resar reports that says that it was back checked right and it said that msgd has have been found to be safe well not if you're consuming a lot of it over a period of time it's an ingredient that will stimulate hunger and make you want to eat more and more and more so I want to share with you a couple of the things creas liver toxicity impaired fertility CH development cardiovascular toxicity and neurotoxicity other than that it's totally safe 
