Video ID,Title,Transcript,Combined_Text
do8O1YxzdVg,A salad box for those who don’t like veggies #shorts,if you don't like eating veggies this video is for you as a dietitian one of the most common things I hear is that people don't like vegetables and honestly I totally get it which is why I always recommend preparing them in,A salad box for those who don’t like veggies #shorts if you don't like eating veggies this video is for you as a dietitian one of the most common things I hear is that people don't like vegetables and honestly I totally get it which is why I always recommend preparing them in
bpsKYwQffes,Episode 15 of realistic nutrition tips #shorts,if you are not freezing your rice this is your sign to start I'm a dietician and welcome back to realistic nutrition tips if you love having grains like rice and quinoa with your meals but it takes too long to cook freeze them in portions and heat them up later you might have,Episode 15 of realistic nutrition tips #shorts if you are not freezing your rice this is your sign to start I'm a dietician and welcome back to realistic nutrition tips if you love having grains like rice and quinoa with your meals but it takes too long to cook freeze them in portions and heat them up later you might have
9RO83PiuQ-A,Episode 14 of realistic nutrition tips #shorts,if you don't like cooking and washing dishes but still want a delicious meal then make a one pot meal in your rice cooker I'm a dietician and welcome back to realistic nutrition tips this tip can be extra helpful if you're a college student someone with limited kitchen,Episode 14 of realistic nutrition tips #shorts if you don't like cooking and washing dishes but still want a delicious meal then make a one pot meal in your rice cooker I'm a dietician and welcome back to realistic nutrition tips this tip can be extra helpful if you're a college student someone with limited kitchen
dI-Be4IehyQ,"Instead of sheet pan dinners, try a sheet pan breakfast #sponsored @American_Heart",you've heard of sheep pan dinners but have you heard of sheep pan breakfasts just like any sheep pan meal there's less cleanup because everything Cooks in one place and for me breakfast feels extra satisfying when it's Savory hot,"Instead of sheet pan dinners, try a sheet pan breakfast #sponsored @American_Heart you've heard of sheep pan dinners but have you heard of sheep pan breakfasts just like any sheep pan meal there's less cleanup because everything Cooks in one place and for me breakfast feels extra satisfying when it's Savory hot"
O_7ZvwhzqGg,My favorite salad box #shorts,if you like salads but hate preparing them this video is for you a few months ago I posted a video about using a veggie Chopper to make a salad box in then I've gotten a lot of messages from people asking about what different,My favorite salad box #shorts if you like salads but hate preparing them this video is for you a few months ago I posted a video about using a veggie Chopper to make a salad box in then I've gotten a lot of messages from people asking about what different
Nq0cKpBQq-I,What this dietitian eats for breakfast #shorts,I'm a dietician and this is what I atat for breakfast this is truly one of my favorite things to make first crack two eggs into a bowl mix in 3/4 cup of water and a pinch of salt SC into a bowl and cover with Saran Wrap and steam for 12,What this dietitian eats for breakfast #shorts I'm a dietician and this is what I atat for breakfast this is truly one of my favorite things to make first crack two eggs into a bowl mix in 3/4 cup of water and a pinch of salt SC into a bowl and cover with Saran Wrap and steam for 12
y6Z8a0CXfuI,Let’s make a Thanksgiving side dish #shorts,let's make a side dish for our Thanksgiving dinner I haven't spent Thanksgiving home in Hawaii in over 10 years but tonight I'm going to the next best thing which is my childhood best friend's boyfriend's familyes friend's house and it sounds confusing at first,Let’s make a Thanksgiving side dish #shorts let's make a side dish for our Thanksgiving dinner I haven't spent Thanksgiving home in Hawaii in over 10 years but tonight I'm going to the next best thing which is my childhood best friend's boyfriend's familyes friend's house and it sounds confusing at first
2lnzGCLgYyk,How I got out of my slump #shorts,for years I struggled to eat meals because even though I had all of the ingredients for a meal I just didn't have the energy or capacity to put it together not just because I had untreated ADHD and lacked the executive,How I got out of my slump #shorts for years I struggled to eat meals because even though I had all of the ingredients for a meal I just didn't have the energy or capacity to put it together not just because I had untreated ADHD and lacked the executive
vwOTxAGg_CY,Episode 13 of realistic nutrition tips #shorts,if you like salads but hate repairing them this video is for you I'm a dietitian and welcome back to realistic nutrition tips instead of taking the time to chop everything individually just add everything to a veggie Chopper and don't empty it along,Episode 13 of realistic nutrition tips #shorts if you like salads but hate repairing them this video is for you I'm a dietitian and welcome back to realistic nutrition tips instead of taking the time to chop everything individually just add everything to a veggie Chopper and don't empty it along
3Ql8lfCMEIg,What I’m eating for lunch and why #shorts,I'm a dietitian and I'm having dinner nuggets for lunch and I'm gonna tell you why welcome back to the series where I show you what I'm eating and why and I can already see the comments saying Kylie you're a dietitian why are you eating dinner nuggets that's so unhealthy as a formerly picky eater,What I’m eating for lunch and why #shorts I'm a dietitian and I'm having dinner nuggets for lunch and I'm gonna tell you why welcome back to the series where I show you what I'm eating and why and I can already see the comments saying Kylie you're a dietitian why are you eating dinner nuggets that's so unhealthy as a formerly picky eater
ZD21rjVPpl8,Let’s meal prep miso soup mason jar noodles (part 5) #shorts,if you hate meal prepping and love miso soup then you'll love this I'm back with another mason jar noodle recipe and this one is as you may have guessed a miso soup jar first add red miso is your base then add Dashi which you can get online,Let’s meal prep miso soup mason jar noodles (part 5) #shorts if you hate meal prepping and love miso soup then you'll love this I'm back with another mason jar noodle recipe and this one is as you may have guessed a miso soup jar first add red miso is your base then add Dashi which you can get online
