Topic,Term,Probability
0,eat,0.086
0,know,0.05
0,nutrition,0.046
0,want,0.034
0,bowl,0.031
0,think,0.03
0,powder,0.026
0,dietitian,0.024
0,carb,0.017
0,heat,0.017
1,food,0.045
1,hand,0.041
1,look,0.04
1,health,0.036
1,free,0.031
1,eat,0.021
1,hear,0.017
1,self,0.016
1,cereal,0.015
1,want,0.014
2,day,0.068
2,eat,0.033
2,start,0.024
2,feel,0.02
2,time,0.018
2,meal,0.018
2,body,0.018
2,life,0.018
2,register,0.017
2,right,0.016
3,snack,0.067
3,go,0.05
3,protein,0.047
3,high,0.041
3,today,0.027
3,snackrecipe,0.026
3,snack_baby_worry,0.022
3,try,0.021
3,cottage_cheese,0.021
3,olive_oil,0.016
4,recipe,0.071
4,add,0.065
4,let,0.055
4,food,0.052
4,go,0.047
4,dinner,0.041
4,dietitian,0.037
4,easyrecipe,0.027
4,chicken,0.021
4,need_super_simple,0.021
5,need,0.058
5,good,0.058
5,diet,0.054
5,go,0.035
5,get,0.031
5,number,0.025
5,hack,0.023
5,people,0.022
5,thing,0.021
5,feel,0.02
6,chop,0.062
6,chocolate,0.058
6,cake,0.029
6,love,0.022
6,come,0.021
6,home,0.019
6,dough,0.019
6,thank,0.017
6,serve,0.016
6,hour,0.015
7,calorie,0.034
7,body,0.033
7,cookie,0.026
7,use,0.021
7,try,0.021
7,way,0.02
7,hunger,0.02
7,eat,0.019
7,super_simple,0.019
7,cheese,0.017
8,ingredient,0.049
8,holiday,0.03
8,measure_heart,0.025
8,remember,0.023
8,barbecue,0.022
8,white,0.021
8,perfect,0.02
8,pumpkin,0.019
8,shrimp,0.017
8,believe,0.016
9,cooking,0.087
9,food,0.062
9,music,0.033
9,rule,0.027
9,learn,0.022
9,cup,0.021
9,video,0.021
9,prefer,0.019
9,chip,0.018
9,buy,0.016
