Video ID,Transcript
do8O1YxzdVg,if you don't like eating veggies this video is for you as a dietitian one of the most common things I hear is that people don't like vegetables and honestly I totally get it which is why I always recommend preparing them in
bpsKYwQffes,if you are not freezing your rice this is your sign to start I'm a dietician and welcome back to realistic nutrition tips if you love having grains like rice and quinoa with your meals but it takes too long to cook freeze them in portions and heat them up later you might have
9RO83PiuQ-A,if you don't like cooking and washing dishes but still want a delicious meal then make a one pot meal in your rice cooker I'm a dietician and welcome back to realistic nutrition tips this tip can be extra helpful if you're a college student someone with limited kitchen
dI-Be4IehyQ,you've heard of sheep pan dinners but have you heard of sheep pan breakfasts just like any sheep pan meal there's less cleanup because everything Cooks in one place and for me breakfast feels extra satisfying when it's Savory hot
O_7ZvwhzqGg,if you like salads but hate preparing them this video is for you a few months ago I posted a video about using a veggie Chopper to make a salad box in then I've gotten a lot of messages from people asking about what different
Nq0cKpBQq-I,I'm a dietician and this is what I atat for breakfast this is truly one of my favorite things to make first crack two eggs into a bowl mix in 3/4 cup of water and a pinch of salt SC into a bowl and cover with Saran Wrap and steam for 12
y6Z8a0CXfuI,let's make a side dish for our Thanksgiving dinner I haven't spent Thanksgiving home in Hawaii in over 10 years but tonight I'm going to the next best thing which is my childhood best friend's boyfriend's familyes friend's house and it sounds confusing at first
2lnzGCLgYyk,for years I struggled to eat meals because even though I had all of the ingredients for a meal I just didn't have the energy or capacity to put it together not just because I had untreated ADHD and lacked the executive
vwOTxAGg_CY,if you like salads but hate repairing them this video is for you I'm a dietitian and welcome back to realistic nutrition tips instead of taking the time to chop everything individually just add everything to a veggie Chopper and don't empty it along
3Ql8lfCMEIg,I'm a dietitian and I'm having dinner nuggets for lunch and I'm gonna tell you why welcome back to the series where I show you what I'm eating and why and I can already see the comments saying Kylie you're a dietitian why are you eating dinner nuggets that's so unhealthy as a formerly picky eater
ZD21rjVPpl8,if you hate meal prepping and love miso soup then you'll love this I'm back with another mason jar noodle recipe and this one is as you may have guessed a miso soup jar first add red miso is your base then add Dashi which you can get online
cME3DsSKKPk,I saw someone turn this yogurt cup into this really delicious looking snack that apparently tastes like a Snickers ice cream bar so today we're gonna try it so first get your vanilla Greek or Icelandic yogurt and mix it with peanut butter then you're gonna top it with
No-g-ZcjXNA,if you're like me and struggled putting dinner together every night get one of these I'm a dietitian and welcome back to another episode of realistic nutrition tips today we're going to be making a delicious meal in five minutes and we're gonna do it by steaming fish
HZcC-NPSXis,let's check my bag for a hike today there's one thing about me it's that I'm the person in the friend group that brings everything that anyone might ever need and it's not just because I'm a Virgo and I plan everything in my life but also because it's one time my friend
ieJ9BbTyvSM,when my grandma was diagnosed with Alzheimer's three years ago I was living five thousand miles away in Boston I immediately moved to LA to be close to my family in Hawaii to see her more often and help out as much as I could I think everyone knows what Alzheimer's is
7SFs3rCqc30,I'm convinced that I've made the best Trader Joe's sandwich and I've been eating it non-stop I'm a dietitian and this is honestly the perfect work from home lunch and today I'm going to show you how I make it this is everything you're going to need first you're going
NXJxsV41ZmA,I'm a dietitian and I'm meeting spam for lunch and I'm going to tell you why welcome back to the series where I show you what I'm eating and why I was born and raised in Hawaii where spam is one of the most popular foods but when I moved to the mainland I was told that spam was a gross canned meat that I
X09MisWUHJY,what I ate in a day in New York City I started off my day with my favorite meal in my favorite place Raku I got a quinceanero dawn with extra wakame this is basically my comfort meal so this always hits the spot I've been seeing
i3qjdX18Quo,confession the idea of cooking a whole meal from scratch every night is so overwhelming so this is what I do to make busy weeks easier I'm a dietitian and welcome back to my series realistic nutrition tips today we're making a dump
