ID,transcript_with_punctuation
do8O1YxzdVg,"if you don't like eating veggies, this video is for you. as a dietitian, one of the most common things I hear is that people don't like vegetables and, honestly, I totally get it, which is why I always recommend preparing them in different ways. for example, make a chopped salad box and use this as a dip for your chips. I'm using cabbage, cucumber, broccoli, avocado. I'm just going to top this with chickpeas and pumpkin seeds and now I'm just going to coat all of the screen goodness and the screen goddess dressing. I came up with that line. that was pretty bad, wasn't it? store bought dressing? because I'm not in a Gordon ramps kind of mood, don't worry if you're the same way. using sore bought dressings will not take away from the nutrient density of your meal. now we're just going to shake now just top of chives, and now you should have a green goddess chopped salad box dip. this way you're still getting in all the fiber, nutrients and fats. but sometimes having a chop that small and eating it with a chip can make it easier and more fun to eat. so easy and so good. I like all veggies, but in this case I like them smaller. that's what she said."
bpsKYwQffes,"if you are not freezing your rice, this is your sign to start. I'm a dietician and welcome back to realistic nutrition tips. if you love having grains like rice and quinoa with your meals but it takes too long to cook, freeze them in portions and heat them up later. you might have heard that reheating rice is dangerous and can make you sick because of bacteria called pilos serus, which can cause vomiting and diarrhea, also popularly known as fried rice syndrome. but this has been blown way out of proportion, and I say this is someone who's obsessive about food safety. is Serve Safe certified, took many food science courses, is Asian and has thoroughly studied every single type of food poisoning. since I used to be an extreme and metaph Bic and stuff like this used to keep me up at night. not the reheating of the rice that makes people sick. it's all about how it was stored beforehand. after you make something like rice, just don't leave it out for too long at room temperature, because that's what makes any food, not just rice, risu, because bacteria can grow more rapidly at those temperatures. all you have to do is cool your rice and Portion it out. I'm using these 1 cup silicone molds so portions are easier to manage, then I just freeze them. I'll do this for my leftover rice, so I don't waste food and so I don't have to cook rice. every time I want to eat it, I'll just add it to my rice container, and whenever I want rice, I'll just pop it in the microwave freezer rice."
9RO83PiuQ-A,"if you don't like cooking and washing dishes but still want a delicious meal, then make a one pot meal in your rice cooker. I'm a dietician and welcome back to realistic nutrition tips. this tip can be extra helpful if you're a college student, someone with limited kitchen space, or even if you're an elderly person who can no longer use the stove. all you need to do is add your rinsed rice and water to a pot and add some veggies like carrots and bok choy. you don't have to use these specific veggies. you can really use any veggies you want. add some edamame and Tofu for protein. then make your sauce. this easy soy Bay sauce is going to be Savory and so delicious. then we're going to mix it, drizzle our sauce over everything, turn our rice cooker on and relax until it's done. after about 20 minutes you'll come back to the most delicious easy meal. if you're feeling extra fancy, top it off with some green onions and sesame seeds. and since I can just set it and forget about it, it gives me more time to do other things like rot in bed or headit up your mom. best part, you can eat it right out of the pot, which means let's clean up so easy."
dI-Be4IehyQ,"you've heard of sheep pan dinners, but have you heard of sheep pan breakfasts? just like any sheep pan meal, there's less cleanup because everything Cooks in one place, and for me, breakfast feels extra satisfying when it's Savory, hot and freshly cooked. so this has become a go-to, especially since it's a lot easier to prepare than it looks. for fiber, we of veggies like onion and bell peppers. sweet potatoes are also a great source of fiber and energy rich carbohydrates. but the star of this meal is eggs, not just because they're a high quality source of protein, but also because they deliver key nutrients that most Americans don't get enough of, such as choline. like most people, you may be Wonder, wondering whether you should be worried about the cholesterol and eggs, and that question is exactly why I'm teaming up with the American Heart Association. though many people used to be worried about dietary cholesterol, current research shows that dietary cholesterol found in eggs doesn't have as big of an impact on total cholesterol and that eggs can be part of a healthy diet. according to the American Heart Association, healthy people can include on average, seven eggs per week as part of a heart healthy diet. so if you're looking for a filling, delicious breakfast, lunch or dinner, try the sheet pan meal and remember that eggs can be part of a healthy diet."
O_7ZvwhzqGg,"if you like salads but hate preparing them, this video is for you. a few months ago, I posted a video about using a veggie Chopper to make a salad box. in then I've gotten a lot of messages from people asking about what different salads to make. so let me show you one of my favorites. first, you're going to chop napa cabbage, then red cabbage. now let's add cucumber, carrots, red bell pepper and chicken for protein. as a dietitian, so many people tell me that they don't stay full after salads, and usually the reason is because they're not eating enough protein and or fat. speaking of froin, I'm also going to add in edamame. now I'm going to use the California Pizza Kitchen tie dressing. if you couldn't already tell, this salad is basically the CPK Tha crunch salad, which is my favorite salad. from there, a gentle reminder that the dressing does not take away from the nutrients in the salad. it's going to help you enjoy eating your veggies and eat more of it than it's a win. now we shake this. I'm going to top this off with some peanuts, Chi noodles- I love a little Crunch- and cilantro. now we have ourselves the most delicious salad box."
Nq0cKpBQq-I,"I'm a dietician and this is what I atat for breakfast. this is truly one of my favorite things to make. first, crack two eggs into a bowl, mix in 3/4 cup of water and a pinch of salt SC into a bowl and cover with Saran, Wrap and steam for 12 minutes. I brought water to a boil in a w, placed my bowl on a steamer rack and covered it, but you can steam this however you want. now it's top with soy sauce, sesame oil and green onions. this is optional, but you can cut through the egg to let the sauce seep through. I'm having this with leftover rice and kimchi and it was so, so good if you're looking for an easy meal."
y6Z8a0CXfuI,"let's make a side dish for our Thanksgiving dinner. I haven't spent Thanksgiving home in Hawaii in over 10 years, but tonight I'm going to the next best thing, which is my childhood best friend's boyfriend's familyes, friend's house. and it sounds confusing at first, but my best friend, who I've known since elementary school, started dating this really nice guy who's really nice family happens to be Japanese and from Hawaii. just like me and my friend, they've been inviting me to their holiday get togethers because they're so kind and also because they know how isolating it can be without a family when you're far away from home. so they've adopted me, which I truly appreciate. and to make things even more exciting, we have the same taste in food because of our similar cultural backgrounds, AKA they also have rice noodles and other Asian food at these dinners. so for Thanksgiving, I wanted to make a traditional Thanksgiving side dish for a Japanese flare. I decided to make spicy Misa glaz brussels sprouts- and you have to trust me on this, because I didn't record anything at this dinner out of respect for their privacy, but it was so good and they were, thankfully, a hit."
2lnzGCLgYyk,"for years, I struggled to eat meals because, even though I had all of the ingredients for a meal, I just didn't have the energy or capacity to put it together. not just because I had untreated ADHD and lacked the executive function to do so, but also because I was depressed. what I'm about to tell you is something that helped me get out of my slump. if you don't have the energy to make a sandwich, you can still eat the parts. so snack on a few slices of turkey. this will give you protein to help you stay satiated. have a few slices of cheese. this will give you some calcium, some fat to digest, fat soluble vitamins and also happiness, because cheese is the best. don't forget the bread. this is carbs, which give you energy. have an apple or maybe some baby carrots- whichever one's easiest for you. both give you some Fiber, which will help you stay regular. I know it seems like obvious advice, but remembering this on hard days really helped me feel my body, because it made meals seem more manageable, and I believe that's what girl dinner was all about: still eating enough to fuel your body, but not having the energy to do more than that, and that's okay. don't get down on yourself for not having the capacity to assemble food to look a certain way, especially if it's going to look all the same to your body."
vwOTxAGg_CY,"if you like salads but hate repairing them, this video is for you. I'm a dietitian and welcome back to realistic nutrition tips. instead of taking the time to chop everything individually, just add everything to a veggie Chopper and don't empty it along the way. just make your entire salad in here. this video will have an easy chopped salad without the mess and energy of preparing it. there's this girl on here that's been doing this and I think it's an excellent tip for people with ADHD, people with chronic illness and people who just don't like to chop things or wash dishes. I've had my veggie chopper for more than two years and this really helps me get in more vegetables. like having my whole salad in here is just so helpful. also, salad Just Hits different when it's chopped. I don't make the rules also gonna add some grilled chicken, because it helps that too, and also I want some protein. after you're done, add your toppings. I'm adding some feta, some sunflower seeds, in my dressing. now I'm just gonna put this back on and give this a shake and now you have an easy Chopped Salad. such a quick salad and so easy to prepare."
3Ql8lfCMEIg,"I'm a dietitian and I'm having dinner nuggets for lunch, and I'm gonna tell you why. welcome back to the series where I show you what I'm eating and why, and I can already see the comments saying: Kylie, you're a dietitian, why are you eating dinner nuggets? that's so unhealthy. as a formerly picky eater, dinner nuggets were my absolute favorite food as a kid and although I've since Diversified my diet, there are occasionally times when dino nuggets just hit the spot. plus, they're so convenient. so let me show you what we could add to them. first, quickly, purpose salad kit. you can use any, but today I'm feeling this one. then I'm going to take my warm whole wheat tortilla, add as much veggies as I can for more of that fiber which is going to keep me Fuller and regular. then I get my dino nuggets, which have some of that protein which is going to keep me more satisfied. you can add more of the dressing or another sauce to this before wrapping it up, but now you have a crispy chicken wrap that's a little more filling and nutritious. also, remember what you can add to, not what you can subtract from, your meals."
