ID,first_three_sentences
do8O1YxzdVg,"if you don't like eating veggies, this video is for you. as a dietitian, one of the most common things I hear is that people don't like vegetables and, honestly, I totally get it, which is why I always recommend preparing them in different ways. for example, make a chopped salad box and use this as a dip for your chips."
bpsKYwQffes,"if you are not freezing your rice, this is your sign to start. I'm a dietician and welcome back to realistic nutrition tips. if you love having grains like rice and quinoa with your meals but it takes too long to cook, freeze them in portions and heat them up later."
9RO83PiuQ-A,"if you don't like cooking and washing dishes but still want a delicious meal, then make a one pot meal in your rice cooker. I'm a dietician and welcome back to realistic nutrition tips. this tip can be extra helpful if you're a college student, someone with limited kitchen space, or even if you're an elderly person who can no longer use the stove."
dI-Be4IehyQ,"you've heard of sheep pan dinners, but have you heard of sheep pan breakfasts? just like any sheep pan meal, there's less cleanup because everything Cooks in one place, and for me, breakfast feels extra satisfying when it's Savory, hot and freshly cooked. so this has become a go-to, especially since it's a lot easier to prepare than it looks."
O_7ZvwhzqGg,"if you like salads but hate preparing them, this video is for you. a few months ago, I posted a video about using a veggie Chopper to make a salad box. in then I've gotten a lot of messages from people asking about what different salads to make."
Nq0cKpBQq-I,"I'm a dietician and this is what I atat for breakfast. this is truly one of my favorite things to make. first, crack two eggs into a bowl, mix in 3/4 cup of water and a pinch of salt SC into a bowl and cover with Saran, Wrap and steam for 12 minutes."
y6Z8a0CXfuI,"let's make a side dish for our Thanksgiving dinner. I haven't spent Thanksgiving home in Hawaii in over 10 years, but tonight I'm going to the next best thing, which is my childhood best friend's boyfriend's familyes, friend's house. and it sounds confusing at first, but my best friend, who I've known since elementary school, started dating this really nice guy who's really nice family happens to be Japanese and from Hawaii."
2lnzGCLgYyk,"for years, I struggled to eat meals because, even though I had all of the ingredients for a meal, I just didn't have the energy or capacity to put it together. not just because I had untreated ADHD and lacked the executive function to do so, but also because I was depressed. what I'm about to tell you is something that helped me get out of my slump."
vwOTxAGg_CY,"if you like salads but hate repairing them, this video is for you. I'm a dietitian and welcome back to realistic nutrition tips. instead of taking the time to chop everything individually, just add everything to a veggie Chopper and don't empty it along the way."
3Ql8lfCMEIg,"I'm a dietitian and I'm having dinner nuggets for lunch, and I'm gonna tell you why. welcome back to the series where I show you what I'm eating and why, and I can already see the comments saying: Kylie, you're a dietitian, why are you eating dinner nuggets? that's so unhealthy."
ZD21rjVPpl8,"if you hate meal prepping and love miso soup, then you'll love this. I'm back with another mason jar noodle recipe and this one is, as you may have guessed, a miso soup jar. first add red miso- is your base."
cME3DsSKKPk,"I saw someone turn this yogurt cup into this really delicious looking snack that apparently tastes like a Snickers ice cream bar. so today we're gonna try it. so first get your vanilla, Greek or Icelandic yogurt and mix it with peanut butter."
No-g-ZcjXNA,"if you're like me and struggled putting dinner together every night, get one of these. I'm a dietitian, and welcome back to another episode of realistic nutrition tips. today we're going to be making a delicious meal in five minutes and we're gonna do it by steaming fish and veggies in the microwave."
HZcC-NPSXis,"let's check my bag for a hike today. there's one thing about me: it's that I'm the person in the friend group that brings everything that anyone might ever need. and it's not just because I'm a Virgo and I plan everything in my life, but also because it's one time my friend, who's very athletic and spontaneous, picked me up one day and told me we were going on a chill hike and that I didn't need to bring anything, even water."
