,ID,transcript
0,zqdxQWTdIM4,I'm going to show you the absolute best natural vitamin for arthritis and it's not vitamin D I took this for a different purpose and then I woke up and I'm like why is my neck so loose normally it's stiff from all the injuries so this nutrient is a precursor to Something in the cells called n a NAD is kind of like a helper molecule that helps you turn food into energy if you're deficient in NAD you get low carage repair you get inflammation you get joint pain you get fatigue you age faster you have more damage in your DNA and you develop a poor immune system the precursor for NAD that you need to take is called ni acetamide this is actually a version of vitamin B3 you'd want to take 100 to 150 migrs three to six times a day it's much better to space it out through the day than to take a large amount all at once make sure you have sufficient protein in no alcohol and watch your arthritis vanish to see the complete video on this go to my YouTube channel 
1,aYV9EWaiz_Y,I'm going to give you three tips to help you lose more weight while you're sleeping and by the way if you don't burn fat when you're awake at all and the last tip is going to be the most important tip number three let's go backwards you want to do a full body workout that intensity stimulates growth hormone which is the main hormone while you're sleeping that helps you burn fat exercise to the point where you have muscle fatigue and only do that twice a week number two make sure you have a comfortable mattress a really good pillow make sure your room is slightly cooler like about 68° crack the window open so you get fresh air while you're sleeping and if your dog is in your bed waking you up put the dog somewhere else now for the most important tip you want to be in bed between 9 and 9:30 and sleep until 6:00 this extra sleep will allow you to heal and repair build lean muscle which is at the heart of your metabolic rate hands down the most powerful thing you can do to get the weight off and for more tips on this check out Dr Berg on YouTube 
2,G4guVvCYAEA,the absolute number one most inflammatory food in the world is ultr processed foods now this is a group or a category of foods composed of primarily three ingredients yes it has preservatives and colorings and artificial flavorings and that type of thing but it's composed of synthetic sugars synthetic starches and synthetic oils and I'm talking about highly highly refined food particles that don't resemble the original food so you can even take corn for example turn into starch and then turn into a fiber and turn into a sugar and of course turn into an oil right if we were to eliminate ultrapress Foods in all these forms it's in cereals and cookies and bars and candy and chips we will eliminate 99% of all inflammation 
3,u0-U3-f4VHM,you know if you went to your kitchen right now and looked in your spice rack in your cupboard you probably would have this right here this is called ginger right well did you realize that Ginger is one of the most amazing things for bloating for any type of inflammation nausea motion sickness and immune system not to mention a lot of other things so if you have any of these problems you can use this in smoothies in a tea in various recipes I think a lot of people like have different things around the house but they don't even know what they actually do so if you have any of these symptoms you might want to start using more Ginger 
4,llDg68l626M,all right we're at our favorite restaurant KFC and let's see we got we have uh these things right here let's see if it bounces yeah it does all right so now we have our wonderful chicken right here right we have our tub delicious chicken highly addictive some of the first ingredient is MSG okay then they have mulle textured which is a another uh thing that will really spike your blood sugars and then when they cook this with oils they use seed oils you're going to create a lot of um inflammatory things but I want to just mention the MSG in here because there's some resar reports that says that it was back checked right and it said that msgd has have been found to be safe well not if you're consuming a lot of it over a period of time it's an ingredient that will stimulate hunger and make you want to eat more and more and more so I want to share with you a couple of the things creas liver toxicity impaired fertility CH development cardiovascular toxicity and neurotoxicity other than that it's totally safe 
5,OahN4mwd6C4,now think about what breathing problems involve right the diaphragm so you here you have this gallbladder /b duct issue congestion whatever you want to call it that backs up that that breathing apparatus and that can affect your breathing big timeon and this usually can be easily corrected by changing your diet to the healthy version of the ketogenic diet within a minute fasting but as an immediate remedy you want to take something called tdka it's a type of Bol that is very unique because it helps to increase the flow of bile sludge through the bile duck so you would take two of these in the morning on an empty stomach and then 2 in the afternoon on an empty stomach and within a few days you'll just feel a lot better 
6,VghsZO9QO_M,so right now in your kitchen in your cupboard you probably have this right garlic powder this is like a natural remedy for so many different things okay blood pressure control cholesterol control decreasing your risk for cancer it's antiviral it's actually considered a broad spectrum antimicrobial so if you're concerned about any of the symptoms that I mentioned start including this simple remedy in your foods 
7,9tHeg6Iq1kk,there's this carb that is way more dangerous than sugar okay now people tend to think sugar is the worst thing but there's other things that are even worse than sugar and this specific carb is bad and I'm going to tell you why we take a look at the glycemic index where is Sugar well table sugar is about 65 not terribly High where's glucose 100 where is this carbohydrate between 116 and 136 on the glycemic index so in other words it's a carb that's not classified as a sugar but acts like a sugar in a much more deadly way as far as what it can do to your blood sugars it just will really spike it and this carb is called maltodextrin it's in other forms too it's in modified food starch it's in modified corn starch I mean and it's in many foods they put in a lot of sugar-free products as no sugar even though it really to me it is a sugar so start reading the labels and avoid maltodextrin 
8,AD2sPmVxcwU,zinc is involved in so many different things it's involved in 300 different enzymes and over a thousand different factors related to your DNA its functions are very wide in helping certain enzymes not just for digestion but for a lot of other things and if you can identify early signs of a zinc deficiency sometimes they call it a subclinical deficiency then you can prevent Advanced problems related to zinc and that can include a complete loss of appetite and then you end up having anorexia necrosis because the tissue is not healing and so zinc actually helps with wound healing and if you're deficient in zinc you can develop uh ulcers externally or internally on your body even ulcers in your mouth and even some elderly that have these ulcers because they're in this bed and they're unhealing ulcers or or wounds um they need zinc big time 
9,IjQJkjrXCC4,I think you already know that stress can also cause disease too right it can cause ulcers heart attacks it can cause osteoporosis it can cause high blood pressure it can cause anxiety depression all sorts of mood problems and it can also suppress your immune system to the point where you develop infections or maybe a virus that was in remission comes out of remission 
10,L59jXhtPvNM,all right today we're going to talk about Burger King and the impossible burger that you can get for $6.50 so the first ingredient is this completely brand new protein called leg hemoglobin okay it's from a GMO soy so they turned soy into this interesting protein a completely brand new protein the safety studies were only done for 28 days and it's generally recognized as safe because the industry says it's generally oriz is safe there is no FDA approval process all right what's in here we have soy oil corn oil cultured dextro which is synthetic sugar food starch modified which I think is another name for modified food starch soy protein isolates now to make that you have to add hexane which is a solvent and methyl cellulose which is used as a laxative so please tell me what ingredient in here is healthier than any other Burger 
