,video_id,comments,num_comments
0,zqdxQWTdIM4,"['I suffered from a frozen shoulder for over a year and a half, I then started fasting, within a month my frozen shoulder had gone! Amazing.', 'I wish someone would put a list of all supplements one should take daily together, separate, with food, without food and things thet help certain illnesses!!!!', 'Niacinamide ( Vit B3) 100-150mg 3-6x a day', 'Dr. Berg, are you hiding in my living room or secretly following me around because every single time I have something going on with my body you release a video that addresses my issue!😂😂 I treasure the information that you freely give us and appreciate all your hard work!', 'Based on how many vitamins I take, I’m about to consider them a meal. After I’m done I feel full already.', ""I am definitely going to try this! Thank you Dr Berg! I know vitamin d does help. When I first started seeing my rheumatologist she checked my levels and I was at 11. And after taking the dosage that she recommended for about 2 months, my bones actually quit aching. Every time now that my bones start aching I know that I'm low on vitamin d. It doesn't seem to happen as much. It may be because I've changed my diet drastically. And I may be getting vitamin d in my food and spending a little more time in the sun. All these years I was told not to go out in the sun because I would get skin cancer. So after the age of 20, I rarely went out in the sun. Mostly went outside in the shade. Wow, they are constantly changing what they believe to be healthy life choices."", 'Dr. Berg, I discovered you more recently. You give some really great advice. You and Dr.Mandel are both awesome! Thank you for all you do!', 'You are my doctor with no charge and I even helped people from your advice \n\nThank you and May dear God bless you richly for your time and kindness', 'You are one among the few on the U tube and I respect you for your every concern for our health❤. God bless🙏🌹 you Dr.', 'I use myself as a lab rat . This is how it works for me : If I stop taking vitamin D3, K2 and boron for about a week or so , my arthritis pain comes back . Vitamin B3 has no effect on me . I’m hoping that K2 clears away the calcium deposits on my bones . Cause if I have to keep taking supplements , it’s like taking pharmaceuticals .', 'Also CBD oil hemp 1000mg, helped my arthritis pain 😊', ""Niacinamide didn't work for me but Nicotinic acid (flush niacin), at the same dose, did all that you promise! Highly recommend."", 'Hi Dr. Berg, \nYou always share profound insights. Thank you so much and keep it up.', 'How do we get this without synthetic vitamins.', 'Arthritis is my nightmare, thank You for advice, I will try ❤', 'Becoming a part-time job taking all these supplements..', 'Thanks Dr Berg ❤😊', 'Thanks Dr.Berg 😊']",18
1,aYV9EWaiz_Y,"[""Thank you Dr. Berg about your advices. I started my keto diet on July 2023. With 108kg n by January 2024 went down to 85kg which was my goal. here's some tips may help: \n- Don't eat when you not feel for it. \n- Cut the sugar or any sweets in your day. \n- Count your carbs. \n- Eat protein, fat n focus on eggs especially for who like sweets. \n- Drink more green tea n cinnamon. \n- Walk one hour a day.\nThanks again..~"", 'My dog gets hot and removes himself from the bed after 5 minutes. I swear he couldn’t be more perfect. I love him.', '1. Sleep 9pm-6am\n2.comfy bed n environment \n3. Full body workout', 'Goin to bed at 9 is impossible unless I’m on a bunch of sleeping pills 😂', 'I can’t remember the last time I went to bed at 9:30. It’s hard for me to go to bed early.', '#4 - STOP EATING COOKIES BEFORE BED!! 😊', 'Sleep more, eat less. Got it 🐲⚔️🐲', 'People sleep at 9:30pm?!?! 😮 mind blown! 🎉', 'So true, uninterrupted  sleep is a game changer!', 'If I run the ac at 68 every night here in Florida my bill will be off the charts...', 'Good quality sleep is so important.  Thanks, Dr Berg 💙🌜', 'Thanks again,  DR. BERG \nFor everything you do \nWe appreciate YOU 🙏 🙌 🖤🖤', ""I'd love to be able to do that! Im a flight attendant, some days i wake up at 3.30am, other days i go to sleep at 2.30am and 99% of hotels i stay at don't have windows you can open so no fresh air for days on..😢"", 'I lost 131lbs and I swear changing bedtimes to asleep by 930 up at 5am had something to do with it besides changing how I ate.']",14
2,G4guVvCYAEA,"['If most people stopped buying them, these companies would be forced to not producing them.', 'I have listened to Dr. Berg and other coaches like Mike Dolce (UFC) for a while now. The essence:\nEat single ingredient foods. An apple has only apple in it.\nFish has only fish in it. Etc. Simple', 'The closer to the natural source the better! Hard work pays off in health. Convenience usually hurts it.', 'I’ve been diagnosed with RA… in my early 40’s, it was very painful with horrible joint pain until I started medication and it started working after a couple weeks. I was heavy on processed foods, especially sugar! I am still addicted to sugar! I crave it. I really don’t know how to stop the craving! 😮 I am trying to eat healthy with salads and chia seeds, and oats, but I still eat junk! I found out I have RA because of terrible joint pain that I ended up in the ER, my PCP did blood tests and of course my inflammatory markers were really high! Had no idea my bad diet led me to rheumatoid arthritis! Like you said Dr. Berg, I was eating almost 99% of the inflammatory foods!', 'Basically the American diet.', 'Thanks for raising awareness, Dr Berg ❤', 'The ticket to pay your doctor a visit.', 'The culprit behind numerous health problems.', 'So true.  Thank you, Dr Berg.', ""It is so very sad that a lot of us people don't even know that. We eat it because it tastes good and we do not look at the negative side of it.""]",10
3,u0-U3-f4VHM,"['Fresh organic ginger, handful of slices ( if you tolerate that much), boil for 10min, let it sit for 10min\nIn you mug add a good squeeze of lemon, and tiny spoon of real honey !\n\nAsians can beat everything with that 😆! \n1mug /day\nDrink it especially during cold season ❤️✨', ""Love ginger.  It's also amazing for cold symptoms.  Thanks, Dr Berg 👍🏻❤"", 'I use ginger for inflammation', 'Ginger is wonderful.  Love it.  Thank you, Dr Berg 🙏🏻', 'Love ginger!! \U0001fada so delicious, aromatic, and good for upset stomachs']",5
4,llDg68l626M,"['And to jazz it up add the ketchup and sugary drinks for more ""goodness"".', '2006 is the year I decided that I was done with KFC, the best way I could describe the pain in my head, someone was drilling into the center!!! 🙅🏽\u200d♀️🙅🏽\u200d♀️🙅🏽\u200d♀️\nMcDonald’s got stuck in my chest and I needed Alka-Seltzer to make it actually go down and digest!!! 🙅🏽\u200d♀️🙅🏽\u200d♀️🙅🏽\u200d♀️\nTaco Bell left me with a headache and stomach ache!!! 🙅🏽\u200d♀️🙅🏽\u200d♀️🙅🏽\u200d♀️\nSo, I cook, juice and make wiser decisions when I pickup carry out!!! 👍🏽', 'Your low key sarcasm is A+!', 'KFC used to cause me swollen ankles and itching at the back of my thighs. I went on an intermittent fasting spree and all the inflammation in my body has gone!', ""Dr. Berg TY for always telling us the truth.  I'm so grateful you are in my life!"", 'I always enjoy that sarcasm you use, Dr. Berg!..😂😂', '""other than that, it\'s totally safe"" 😂', 'MSG, maltodextrin and seed oils, the perfect recipe!  Love your sarcastic humour, Dr Berg.  Thank you.', 'When  I saw MSG was an ingredient, I gave up KFC along with  all fast food. That was years ago. 💙😊', 'Love the last bit ""other than that it\'s totally safe"" after stating some really terrible effects of eating KFC 😂', 'There more I know, the more disgust I feel about food industry. Really try to cut EVERYTHING out that has more than 1 ingredient. Fast food is simply garbage', 'How ironic that the Dr. Berg logo is reminiscent of the old KFC logo of Colonel Sanders😂', ""Love your humour!  You're the best, Dr Berg ❤😅"", ""Absolutely horrendous. It's borderline criminal how these fast food companies get away with some of the junk they put into these 'foods' ."", 'KFC keeping you big as hell', 'You rock, Dr. Berg because you reveal the truth behind these cravings. ❤❤❤❤😊\nThank you!', 'Oooooooo... Thats why i am hungry again ( 2 hours later) after eating Chinese food', 'When I quit eating fast food I immediately lost 20 pounds.']",18
5,OahN4mwd6C4,"[""After the first dose of your gallbladder support, I felt so much better. I felt things move around that night, and I haven't had an issue since. (Sorry to patronize, but it's the truth, and if it convinces someone else to try and it helps them, then that's a win.) After taking the adrenal & cortisol support, the inflammation in my organs went down. My Dr's didn't know what was causing the inflammation. After watching your videos, I immediately got the pills. I am feeling more like myself every day, and I am so grateful to you. Your videos are so informative, and I encourage everyone to watch whatever peaks their interest. There's so much to learn from you. Thank you for sharing.""]",1
6,VghsZO9QO_M,"['I don’t use powdered garlic. I use fresh garlic. In fact I had an ear infection last week and 2 days of taking fresh garlic with dinner took care of it … potent stuff ..', 'I use Garlic on everything I can.  I have loved the flavor since I was a child.  Fresh, roasted, granulated I eat it all.', ""Love garlic, both powder and fresh raw.  It's a wonderful remedy.  Thanks, Dr Berg."", 'Garlic is never missing in my kitchen.  Love it raw on my salads 🥗❤', 'Garlic, tumeric, and black pepper on almost everything.', 'You wan’t FRESH garlic to reap the best health benefits. Garlic is one of the greatest natural antibiotics. \nDid you know garlic can help remove lead from the body? My kitchen is NEVER without fresh garlic. I eat it everyday and have done so since a child. At 67, I have NO health issues at all. No meds at all.', ""I add that in almost every dish 😂 don't gotta tell me twice doc""]",7
7,9tHeg6Iq1kk,"['I read food labels often. Sometimes people say labels are confusing. Skip everything except the ingredients. When I see maltodextrin, I put it back. \n\nMostly I eat meat, vegetables and butter. I make my own salad dressing. Pretty much everything in the grocery store is poison.', 'The food industry is just criminal!!!', 'Certain ""foods"" they we eat here in the USA are banned overseas, particularly certain flours.', 'It would be cool if the FDA actually looked out for people instead of working for big companies', ""My mom is recovering from a stroke and is diabetic. Doctors told her to drink those old people chocolate protein drinks until she regains her appetite. Last week she was nauseous so didn't want to eat, so all she had was a protein drink. When we checked her blood sugar in the evening it had spiked to over 150 and we couldn't understand why. Now after reading the label to her protein drink, maltodextrin is the SECOND ingredient!! So obviously we tossed all those out.  Thanks Dr. Berg for all you do to provide free and thoughtful I formation to help people take better control of their health!"", 'I’m so PO’d right now! My favorite drink is Crystal Light Peach Mango Green Tea. I thought I’d check out the ingredients - I never even thought to look - it IS sugarfree afterall! No way - 1st ingredient = maltodextrin!! How can they do that??? No wonder I have been stalling!! Into the garbage it goes!! 🤬😡🤬 \np.s. Thank you for this information, Dr. Berg - you’re saving my life!', ""You don't know how much I appreciate your efforts, Sir."", ""Wow, I just looked at my Crystal Lite drink packets, and it's listed in the ingredients. I just threw them in the trash. 😮"", ""I screwed up my first month of carnivore because I was putting on a lemon pepper seasoning that I didn't realize had maltodextrin in it. After that I simply did not use seasonings of any type can went full strict carnivore with only salt"", 'Imagine my disappointment whenever I read the words ""Keto friendly"" on any product only to see the words ""starch"" and/or ""maltodextrin"" on the ingredients label 😑', ""It's in EVERYTHING! As a type 1 diabetic, I always wondered why I had such a big spike in blood sugar from eating a handful of potato chips? I mean, those thin slices are not a whole lot of potato? The sunflowerseed oil they are fried in is not a good thing either, but guess what ingredient is first in the spice blend covering these chips? You guessed it; MALTODEXTRIN! The next is sugar 😅, and then the other spices and salt. And why, do you think? Because it makes you hooked and not being able to stop before you have eaten a whole lot more than you intended..."", 'They even dump maltodextrine in vitamins and spices. You really have to read every label now to avoid this horrible substance.', 'Here are some foods that contain maltodextrin:\nPasta, cooked cereals, and rice\nMeat substitutes\nBaked goods\nSalad dressings\nFrozen meals\nSoups\nSugars and sweets\nEnergy and sports drinks\nCanned fruits\nDesserts\nInstant puddings and gelatins\nInfant formula\nCoffee whiteners \n\nMedical News Today', 'Other names for maltodextrin include corn syrup solids, modified corn starch, modified rice starch, modified tapioca starch, modified wheat starch. Basically, all my protein, sugar-free snacks in my pantry 😭😢😥', 'I’ve started looking for this and it’s freaking everywhere! In “healthy” chips, most snacks, and even vitamins. I don’t know what I’d do without this channel. Been recommending it to everyone I know.', 'I bought this NuNatural NuStevia white stevia powder from the store with out reading the nutrition fact on the back, then when I tried it I swore to myself never to touch regular sugar just to find out the main ingredient is maltodextrin with a hint of stevia but they advertised it as if the entire powder is stevia😢luckily it was just $10 but I was so pissed by the producers', 'Wow I didn’t know that was even possible that’s off the charts high! They add this in some treats that are labeled “keto friendly”', 'If I see maltodextrin in a box of food, I immediately put it back on the shelf!', 'The FDA needs to be totally overhauled, if not disbanded.', ""Just don't buy processed foods"", ""Shoot..I thought I was doing good with these sugar free popsicles..I just watched this and read the ingredients.. guess what's in there. 😮"", 'I wanted to thank all who gave such good advice. I have acted on all and got my baby on HiPP. Also, still working on breast milk supply.\n\nThe baby formulas all have either corn maltodextrin or corn syrup. What can a mother do if not able to provide enough breast milk for her newborn 😢', 'My friend was bragging to me that the protein powder he is taking has only 1 gram of sugar per serving but now he realized it has more when he read the label saying the huge amount of maltodextrin in it.', ""In Russia, they banned all gmo foods. Why can't they do that Here?🤔 💰 💰💰💰💰💰💰💰"", 'A huge culprit:  coffee mate Zero Sugar.  The second ingredient is soybean oil, the third ingredient is maltodextrin.🤢', 'Bless you Dr. Berg for educating us on staying healthy.', 'What does the FDA even do?', 'I notice they are putting maltodextrin in vitamins. Why?', 'Best eat foods without labels', 'Our food has turned to nothing but poison, SAD!!!😢', ""Don't eat processed foods I guess.  Natural, whole, as nature made it."", ""It's always in bouillon cubes and bouillon paste. Even the organic ones. All varieties."", ""It can also be found in generic versions of stevia splendor!  My experience over the last 4 years if you consume something and you know it's damaging your health make a list to avoid it and tell others"", 'Yeah and also when I first start out my weight loss journey I found out that maltodextrin Can damage your liver and it can cause a fatty liver with that said you could view it as worst and saturated fat or trans', 'Maltodextrin makes my heart beat so fast I feel like I’m going to have a heart attack. I read all labels to try to stay away from it.', 'I learned about maltodextrin by Dr. Berg in previous videos but I had no idea that it is among the ingredients in some  ""healthy seeds"" I chose as snack for someone till i checked the list of items, i mean why they even need to add this to sunflower seeds?  Thank you for sharing this.', 'So food labeled sugar free can be much worse than the sugar you were trying to avoid.  Food companies have so many dirty tricks up their sleeve.', ""Maltodextrin also cause water retension. It's in al chips, read the ingredients."", '😮😮😮😮 I’ve seen this ingredient in every packaged processed food', 'I was just at the store looking for a decently low toxic hair conditioner and a couple of them had maltodextrin … what the heck is the purpose of that in hair conditioner??? 😮', 'it also has ""Gluten""  and since i have celiac disease i READ labels and REREAD labels.....', ""Great. It's in Splenda and I use that in iced tea during the summer. 😮😢"", 'Those mass gainer shakes are full of it. My friend and I were using them for a while and always got sick.', 'Saw it on my nature made multivitamin and switched to a whole food multivitamin.', 'Crap. Well, that is disappointing because when I cheat occasionally and make a packaged gravy to put on roasted meats, they always contain maltodextrin.', 'Thanks, Dr Berg.', 'Maltodextrin']",47
8,AD2sPmVxcwU,"['I went keto, got a job at fedex for a full body work out, followed your advice and lost 50 lbs', 'Phytic acid in grains block Zinc absorption.', ""I was deficient in zinc, and I didn't know that, then I found your channel some years ago, watched your comprehensive videos. You helped me and my family."", 'Thanks for sharing this relevant information, Dr Berg 🙏🏻']",4
9,IjQJkjrXCC4,"['Work is the main source of stress.... its killing us!!!', 'Happened to me with Fibromyalgia.  Dr. Berg is an awesome healer.  Thank you, Sir.']",2
