Video ID,Transcript
zqdxQWTdIM4,I'm going to show you the absolute best natural vitamin for arthritis and it's not vitamin D I took this for a different purpose and then I woke up and I'm like why is my neck so loose
aYV9EWaiz_Y,I'm going to give you three tips to help you lose more weight while you're sleeping and by the way if you don't burn fat when you're awake at all and the last tip is going to be the most important tip number three let's go
G4guVvCYAEA,the absolute number one most inflammatory food in the world is ultr processed foods now this is a group or a category of foods composed of primarily
u0-U3-f4VHM,you know if you went to your kitchen right now and looked in your spice rack in your cupboard you probably would have this right here this is called ginger right well did you realize that Ginger
llDg68l626M,all right we're at our favorite restaurant KFC and let's see we got we have uh these things right here let's see if it bounces yeah it does all right
OahN4mwd6C4,now think about what breathing problems involve right the diaphragm so you here you have this gallbladder /b duct issue congestion whatever you want to call it
VghsZO9QO_M,so right now in your kitchen in your cupboard you probably have this right garlic powder this is like a natural remedy for so many different things okay
9tHeg6Iq1kk,there's this carb that is way more dangerous than sugar okay now people tend to think sugar is the worst thing but there's other things that are even worse than sugar and this specific carb
AD2sPmVxcwU,zinc is involved in so many different things it's involved in 300 different enzymes and over a thousand different factors related to your DNA its
IjQJkjrXCC4,I think you already know that stress can also cause disease too right it can cause ulcers heart attacks it can cause osteoporosis it can cause high blood pressure it can cause anxiety depression
L59jXhtPvNM,all right today we're going to talk about Burger King and the impossible burger that you can get for $6.50 so the first ingredient is this
A2x33zFsTLA,my terrible painful heartburn was the best thing that ever happened to me there are three things to do but one of these things that I'm going to share with you will actually correct it let's
afWHeLiejPY,to lose your belly fat there are three tips that you need to know relating to doing intermittent fasting and one of these tips is way more important than the others tip number one make sure you
ntQ5IbULu7U,if you have any inflammation on the right side of your body okay I don't care if it's fibromyalgia or shoulder pain or a headache on the right side or anything down in the lower part of your
W_8nrFXzw_4,if you are deficient in calcium you may find that you have this chronic cough okay and you may find that um you're tired but you just can't go to sleep
pY1fV-P1YnI,you know I talk a lot about vitamin D but I wouldn't recommend taking vitamin D by itself I would always take vitamin K2 with vitamin D because vitamin D3 increases calcium absorption in your
6nnp1YJF1OA,all right so today we're at one of my favorite restaurants paries okay so today we have some fries which is a great combination between soy or corn
DavA5kfaqaU,you know so many people have blood sugar problems they're worried about their diabetes pre-diabetes Etc well in your cupboard right now you probably have an amazing remedy it's in the spice rack
nqpMzWGPxHo,if you can't sleep right you're getting less than 5 hours and you have this sympathetic overdrive and you're trying to lose weight good luck it's not going to happen in fact you can work with
o_SS8cGGFbI,so you have the spine you have all these different ribs that connect to the spine but this articulation between the rib and the spine and your back if it's
yUNWFEiJb6I,all right rabbit D today and we want to talk about these right here um man are these addictive so you have a combination of different oils they're all seed oils corn canola soy soy
z4Lx1x6mNVc,what does acid reflex or silent reflex have to do with your breathing well apparently there's a lot of um sensory nerves in your esophagus that go right to your brain and that will give your
D318YEnHPeg,so I recently did a video on how to get rid of a wart or a skin tag using this amazing amazing remedy that I just
lCHoCeUdoII,what does acid reflex or silent reflex have to do with your breathing well apparently there's a lot of um sensory nerves in your esophagus that go right to your brain and that will give your
FJj5mY2KS2M,so I have a question for you when you're at the grocery store and you are at the tiny little corner of the store called the health food section what does that
vSMmAjFCP4w,I'd like to talk about vitamin D and magnesium okay did you realize that the receptors for absorbing vitamin D are completely and utterly dependent on magnesium if you have no magnesium you
f54Fr1Nidaw,want to show you how to make the healthiest lemonade in the world now why is it so healthy because it has zero sugars most lemonade has like 7 and 1/2
U1dEuvAFTNU,When you sweat uh it's really salty and then also if you're drinking a lot of plain water without salt you're just going to create a situation where you're going to actually be very deficient in salt just as a side note one of the
seoNCxlrmM0,I want to discuss the top mistakes that people make when they start intermittent fasting number one eating way too much what you have to realize is that when you're not eating you are eating you're eating your own fat so it's not that
Nrl_X5wE0uw,I want to discuss the top mistakes that people make when they start intermittent fasting number one eating way too much what you have to realize is that when you're not eating you are eating you're eating your own fat so it's not that
vDa8341QhNw,so I wanted to respond to an article um on how OIC in wovi could break the Health Care system because now if you have these weight loss drugs that are actually helping people lose weight and
Hz6EBeJP3vI,there's even a condition called e a that's a condition where the person is water logged okay and it's creating a lot of swelling in the brain and that could easily come from just drinking too much water and this often occurs when
RW7STOpaRvg,you know the other day I was shopping at the grocery store and I bought this right here keto friendly Duncan hindes chewy fudge brownie mix right is it too
6jSpyG0rRT0,so I have a question for you if you can answer this out of all the ingredients to ultrapress Foods or junk foods which ingredient out of all of those is the absolute worst and has the biggest
QifjPgYfIiE,takes is just a little bit of exercise to produce significant health benefits and I'm talking about lowering your risk for certain diseases and increasing your longevity living longer it doesn't take
aT0rBaHMRns,did you realize that 71 to 83% of all the calories sold in the grocery store are what's considered ultr processed
iwsdIX0_qK4,now you may just end up quitting sugar after watching this video I'm just warning you don't get mad at me I'm just the messenger there are 703 meta analysis that make up 8600 different
oEvhzW_lbTM,"so there was a quite large study there was I think over 80,000 people involved in this study called the nurse's health study and they looked over four years of who gained weight and who didn't gain weight and they looked at variables and"
fbIz1ozqRYQ,[Music]
Y8XQNFyMe8M,what is the number one best anti-inflammatory food in the entire world can you take a guess you think it's omega-3 Fetti acids fish oils not even close there are so many things that
KD2zUbWrkAM,all right another Factor that's very important is the frequency of eating okay if you're snacking if you're eating between meals if you're even eating three meals a day that can slow things
wi6SHudf2PY,there's other things that cause a deficiency of biotin that you need to know if you consume raw egg whes because it locks up biotin if you're on the ketogenic diet your demand for biotin
32K_bo7E66M,foods that create the most inflammation would be related to something like gluten which actually is in grains most of the grains create inflammation in your gut most people with arthritis
Kfn7YpAlmPs,now I hate to break this to you but that mother and the oppsite of vinegar and the bottom of the bottle is not what you think what you've been told it's a
Ba6QLhycpy8,[Music]
_achdhdxIH0,developing more Fitness also improves your insulin sensitivity so if you had insulin resistance at one time developing more of a fitness Reserve can greatly help your blood sugars and allow
gO0mUN3MAoM,if you wanted an amazing drink to drop inflammation in your body especially inflammation in your gut here's the best drink and this is based on a YouTube video that I did recently but I will say
3BbcD0fjfno,so I'm really excited to speak at the upcoming Health hacking event forly called ketocon and so the topic of my uh presentation is going to relate to the
9vBO3ejBoMA,my fair share of bumpy roads and heavy winds that's what made me what I am today now I stand here before
Ika6xrj1L40,really got to be careful of these grains uh and consume only grains if you're going to do grains at all that have no gluten and that would be oat quinoa
8JySMhsH72M,does drinking water actually hydrate you the answer is it depends it depends on what's going on with sodium if you have a lot of sodium in the body and not enough water you're going to be
xsvsonsP3BU,ketogenic diet can absolutely kill you this is Steven L lifestyle medicine cardiologist and in this video I'm going to tell you that the ketogenic diet can absolutely kill you we're going to go
EmGwQA2C1UM,one of the most important nutrients for your hair is a simple amino acid called Lucine without Lucine you can very easily develop alopecia thinning of the
JeaF9HtuVxA,now the second point about probotics is we have to talk about the opposite of a prootic which is an antibiotic um there are things out there that mimic antibiotics as well like glyphosate
QEzFBI-Z7qY,so there's a certain amount of sugar that you have to put in certain foods to optimize this Bliss moment this point of like wow this is just delicious and what
z-atfvHSsqk,there are many uh non-pathological reasons why you might have high blood glucose that don't indicate that you really have diabetes or a problem for example if you test your blood sugars
g3zWxCcBeOY,if you want to know the most poisonous foods on the planet and I'm not going into sugar refined carbs and Seed oils which we know create more problems than any other food now mushrooms are very
2PaIdKUPDkI,hey just want to let you know that I'm going to be speaking at the keto Summit in Florida coming up in January it's called Symposium for metabolic Health it's in boa Raton Florida January 12th
Qk_bJoj8f-E,really interesting thing about a diabetic on a good portion of their high blood sugar it may not be 100% from the diet in fact it's not a good portion of
rs6Ztq7YrpE,now if you want to get more energy you want to focus in on this amazing cell in your body called the mitochondria the mocher is a pre- battery machine it
B1D7bjFMPC4,people that have a slow metabolism actually have a very efficient metabolism probably from dieting in the past you go on some diet and then your
1RRwbp9YMLA,did you realize that the average person in the US consumes like 60% of their calories from Ultra processed foods where they strip the
5EnsvmwexjY,now vitamin A is very very important in your eyes for your immune system and for your skin not just external but internal skin too the skin that aligns the inside
cydV-nZEyk4,I'd like to talk about the amazing benefits of magnesium so magnesium actually helps you lower cortisol so it helps you sleep especially getting to sleep as well as staying asleep
Bz3DLaEF-ec,so I started looking at Copper in relationship to the satic nerve and I found some fascinating information number one there's all sorts of different types of therapy that use
xyNjoCrJW54,the pH in your stomach should be between one and three very very acidic and the purpose of that acidity is to help you break down protein is to help you absorb minerals also uh absorb
lbdYjujrBTA,to remove fat from your liver just drink this one cup every single day now I know you're saying no freaking way is this going to work but just hear me out it'll make sense most of the fat on our livers
nTXr3WH033Y,next topic is about carbohydrates if you do a workout and you do a little snack before during or after the workout like a lot of people do they want to get those carbs in there maybe they do a
vH0rhTPEShI,sometimes people when they get on the ketogenic diet they feel that the muscles are just flat they kind of lost their size they look dehydrated because um when you do keto at least initially
tbAmKJecACA,you know slightly older people that were born in the 50s and the 60s like myself notied that there just wasn't as many overweight people back then why is that was it because we ate less saturated
PF1siw7tXeY,so these microbes from kefir actually go into the body and they inoculate or seed your microbes to help you grow more microbes and actually the right balance
HR2ogA32znQ,now as you see when you buy biotin supplements or you see them in certain shampoos you'll see very high amounts of biotin now is that a problem uh not necessarily because biotin is water
4UFJDlYNraw,insulin is really necessary it's a normal hormone we want it normal we don't want it too high or too low and unless you're a type 1 diabetic and have
