ID,first_three_sentences
zqdxQWTdIM4,"I'm going to show you the absolute best natural vitamin for arthritis, and it's not vitamin D. I took this for a different purpose and then I woke up and I'm like: why is my neck so loose? normally it's stiff from all the injuries. so this nutrient is a precursor to Something in the cells called n a. NAD is kind of like a helper molecule that helps you turn food into energy."
aYV9EWaiz_Y,"I'm going to give you three tips to help you lose more weight while you're sleeping and, by the way, if you don't burn fat when you're awake at all. and the last tip is going to be the most important. tip number three: let's go backwards."
G4guVvCYAEA,"the absolute number one most inflammatory food in the world is ultr processed foods. now, this is a group or a category of foods composed of primarily three ingredients. yes, it has preservatives and colorings and artificial flavorings and that type of thing, but it's composed of synthetic sugars, synthetic starches and synthetic oils, and I'm talking about highly, highly refined food particles that don't resemble the original food."
u0-U3-f4VHM,"you know, if you went to your kitchen right now and looked in your spice rack in your cupboard, you probably would have this right here. this is called ginger. right well, did you realize that Ginger is one of the most amazing things for bloating, for any type of inflammation, nausea, motion sickness and immune system, not to mention a lot of other things?"
llDg68l626M,"all right, we're at our favorite restaurant, KFC, and let's see, we got. we have, uh, these things right here. let's see if it bounces."
OahN4mwd6C4,"now think about what breathing problems involve. right, the diaphragm. so you here."
VghsZO9QO_M,"so right now, in your kitchen, in your cupboard, you probably have this right garlic powder. this is like a natural remedy for so many different things. okay, blood pressure control, cholesterol control, decreasing your risk for cancer."
9tHeg6Iq1kk,"there's this carb that is way more dangerous than sugar. okay, now people tend to think sugar is the worst thing, but there's other things that are even worse than sugar, and this specific carb is bad, and I'm going to tell you why. we take a look at the glycemic index."
AD2sPmVxcwU,"zinc is involved in so many different things. it's involved in 300 different enzymes and over a thousand different factors related to your DNA. its functions are very wide in helping certain enzymes, not just for digestion but for a lot of other things."
IjQJkjrXCC4,"I think you already know that stress can also cause disease too, right. it can cause ulcers, heart attacks, it can cause osteoporosis, it can cause high blood pressure, it can cause anxiety, depression, all sorts of mood problems, and it can also suppress your immune system to the point where you develop infections. or maybe a virus that was in remission comes out of remission."
L59jXhtPvNM,"all right, today we're going to talk about Burger King and the impossible burger that you can get for $6.50. so the first ingredient is this completely brand new protein called leg hemoglobin. okay, it's from a GMO soy, so they turned soy into this interesting protein, a completely brand new protein."
A2x33zFsTLA,"my terrible, painful heartburn was the best thing that ever happened to me. there are three things to do, but one of these things that I'm going to share with you will actually correct it. let's start with number three."
afWHeLiejPY,"to lose your belly fat. there are three tips that you need to know relating to doing intermittent fasting, and one of these tips is way more important than the others. tip number one: make sure you have enough sea salt, because if you don't have enough sea salt when you're doing fasting, you're going to have keto fatigue, you're going to feel tired and weak and you're not going to be able to sleep."
ntQ5IbULu7U,"if you have any inflammation on the right side of your body- okay, I don't care if it's fibromyalgia or shoulder pain or a headache on the right side or anything down in the lower part of your body as well. suspect something related to the gallbladder and it could be just the bile ducts themselves being congested with what's called bile sludge, which a lot of people don't even know about. that they they think automatically you have to have a gall stone, but not necessarily."
W_8nrFXzw_4,"if you are deficient in calcium, you may find that you have this chronic cough, okay, and you may find that, um, you're tired, but you just can't go to sleep. there's something preventing you from just drifting off into a nice relaxed sleep. that's a Calcium deficiency, uh, not to mention, you could have cramps as well."
pY1fV-P1YnI,"you know I talk a lot about vitamin D, but I wouldn't recommend taking vitamin D by itself. I would always take vitamin K2 with vitamin D, because vitamin D3 increases calcium absorption in your intestines by 20 times and that ends up in the blood. so you can have a lot of calcium in the blood, which can be a problem for people, especially if they're prone to kidney stones or arthritis."
6nnp1YJF1OA,"all right. so today we're at one of my favorite restaurants, paries. okay, so today we have some fries, which is a great combination between soy or corn canola oil and a starch under high Heats, which is going to create cation that's going to accumulate in the body, it's going to build up in the lens of the eye and your brain and the tissues and arteries, highly inflammatory."
DavA5kfaqaU,"you know, so many people have blood sugar problems. they're worried about their diabetes, pre-diabetes, Etc. well, in your cupboard right now you probably have an amazing remedy."
nqpMzWGPxHo,"if you can't sleep right. you're getting less than 5 hours and you have this sympathetic overdrive and you're trying to lose weight. good luck, it's not going to happen."
o_SS8cGGFbI,"so you have the spine, you have all these different ribs that connect to the spine, but this articulation between the rib and the spine and your back, if it's restricted, can affect your breathing very easily. now, how could that occur? well, easily, from an injury."
yUNWFEiJb6I,"all right, rabbit D today and we want to talk about these right here. um man, are these addictive? so you have a combination of different oils."
z4Lx1x6mNVc,"what does acid reflex, or silent reflex, have to do with your breathing? well, apparently there's a lot of um sensory nerves in your esophagus that go right to your brain and that will give your brain certain information that it's not getting enough oxygen, which will cause you to feel like you have air hunger. it will cause you to breathe more and gasp or air."
D318YEnHPeg,"so I recently did a video on how to get rid of a wart or a skin tag using this amazing, amazing remedy that I just stumbled on. and instead of giving you the long name for this remedy, I'm just going to tell you it's an ahcc. this is a shitake mushroom extract."
lCHoCeUdoII,"what does acid reflex, or silent reflex, have to do with your breathing? well, apparently there's a lot of um sensory nerves in your esophagus that go right to your brain and that will give your brain certain information that it's not getting enough oxygen, which will cause you to feel like you have air hunger. it will cause you to breathe more and gasp or air."
FJj5mY2KS2M,"so I have a question for you. when you're at the grocery store and you are at the tiny little corner of the store called the health food section, what does that tell you about the rest of the grocery store? what kind of foods are they serving there?"
vSMmAjFCP4w,"I'd like to talk about vitamin D and magnesium. okay, did you realize that the receptors for absorbing vitamin D are completely and utterly dependent on magnesium? if you have no magnesium, you will not be able to absorb vitamin d, and vitamin D helps you absorb magnesium."
f54Fr1Nidaw,"want to show you how to make the healthiest lemonade in the world. now, why is it so healthy? because it has zero sugars."
U1dEuvAFTNU,"When you sweat, uh, it's really salty. and then also, if you're drinking a lot of plain water without salt, you're just going to create a situation where you're going to actually be very deficient in salt. just as a side note, one of the first symptoms of a salt or sodium deficiency is, uh, muscle weakness."
seoNCxlrmM0,"I want to discuss the top mistakes that people make when they start intermittent fasting. number one: eating way too much. what you have to realize is that when you're not eating, you are eating."
