Video ID,Transcript
do8O1YxzdVg,if you don't like eating veggies this 
bpsKYwQffes,if you are not freezing your rice this 
9RO83PiuQ-A,if you don't like cooking and washing 
dI-Be4IehyQ,you've heard of sheep pan dinners but 
O_7ZvwhzqGg,if you like salads but hate preparing 
Nq0cKpBQq-I,I'm a dietician and this is what I atat 
y6Z8a0CXfuI,let's make a side dish for our 
2lnzGCLgYyk,for years I struggled to eat meals 
vwOTxAGg_CY,if you like salads but hate repairing 
3Ql8lfCMEIg,I'm a dietitian and I'm having dinner 
ZD21rjVPpl8,if you hate meal prepping and love miso 
cME3DsSKKPk,I saw someone turn this yogurt cup into 
No-g-ZcjXNA,if you're like me and struggled putting 
HZcC-NPSXis,let's check my bag for a hike today 
ieJ9BbTyvSM,when my grandma was diagnosed with 
7SFs3rCqc30,I'm convinced that I've made the best 
NXJxsV41ZmA,I'm a dietitian and I'm meeting spam for 
X09MisWUHJY,what I ate in a day in New York City I 
i3qjdX18Quo,confession the idea of cooking a whole 
0a790Ti63Gw,today we're trying the viral cucumber 
07yNw7rMFWs,as most of us know I have ADHD and this 
IbsXsI9rtAk,so people have been making ice cream out 
29NFFYP6ETY,welcome back to the series where I show 
ft45mlqPlEM,welcome back to the series where I show 
VGmnwkepgMI,if you're trying to eat healthier but 
Lo5Xu-8DUN4,if you're trying to eat healthier but 
Y0s6IbUNgfI,if you're trying to eat healthier but 
m3Xb36V_2vM,let's make breakfast for my friends I 
rR1QQZxPDpw,let's make kimchi 
zfP9yZAgeLY,this is one of my favorite meal prep 
2b9z_FwwDlE,I'm a dietitian and is what I ate for 
yJspQI7XeoE,I'm a dietitian and I'm having frozen 
fmU41Ymn86Q,when I was 13 I briefly had a crush on a 
wTGLwZXJ8kI,my stomach is not having it today we're 
PNTmE9wiJB4,last time I showed you how to cook 
7cqh6oOLuao,I've been seeing videos of people making 
FQSPN88ZnAk,here are foods I would never buy as a 
DKbanV5SCxs,and this is episode 8 of realistic 
kEOu0kEMFTo,I like protein bars but I love my 
DxFc-CWBu_g,so I saw a video of someone who was 
R2VK5UM6_xQ,I'm a writing and this is episode 7 of 
qjpohStyejU,this is my super easy and quick 30 
96w2vyH05-g,I'm a dietitian and I'm also technically 
FnxEWjYEj_4,so apparently heart of palms is supposed 
psLBKgXQppY,I'm a dietitian and this is episode 6 of 
QG6-FQ2U7WI,I always thought I was lazy but it turns 
8US8t96-WEE,hot take but breakfast is not the most 
qzVuvyn4w6Q,part two of foods I would never buy as a 
uCm007BPvPg,I'm a dietitian and is what I eat for 
TQLTuAPMJtc,I'm a dietitian and this is day five of 
z_2PiGgCYIE,Euro Foods I would never buy as a 
H0f4_XHNRNs,apparently the raw carrots out that I'm 
SFLfz3K_21A,let's make a dish for a cultural food 
lExxiSII-lA,do you like smoothies but hate cleaning 
nsN68mzmPrw,I'm a dietitian and this is day four of 
AkrXs5WxjT0,meal prepping can be hard so let's prep 
27IqAin0tYw,I'm a dietitian and these are mindsets 
z9ZwQVUIIkE,what I did on my last day home in Hawaii 
SF9LzyUK5OQ,every time I come home I visit this 
ACzq2lsX2k8,as an Asian American I feel conflicted 
vH4le-bGWtc,let's make a Japanese New Year's dish 
4zcFowmtEQw,let's make an easy dinner while I'm home 
EJiJmk7Jwho,everything I ate in a day while in 
QGor7f96ai8,I'm back home in Hawaii let's make 
-UZpmlhPiR0,everything I ate on my flight home to 
n7GoqHolyLk,what I ate at the unforgettable Gala 
Nq2NqlazqBA,let's make food for a picnic let's start 
EcUmgWbzMmU,I'm a dietitian and this is what I eat 
HtmeDIp4QhY,I'm a dietitian and this is day three of 
Hx5LMQdtmK8,how I get my hair from this to this with 
IfGp016IaBM,I'm a dietitian and this is what I eat 
8gIWivpcAfw,so apparently grapes tossed in lime 
6shs5fSofi8,I'm a dietitian and I have IBS let's get 
C7WP_oNlwXM,I'm a dietitian and I'm eating instant 
ksCHUIWJdOM,I'm a dietitian and here are three foods 
IP0bxHmNzp4,let's make cornbread for Thanksgiving I 
mLboOEwl1yA,let's make a friendsgiving dish together 
LaxZ1MN_HII,are you constipated well apparently 
4aJ0gHbis38,[Music] hoes going back 
76xHImc2-qc,I'm a dietitian and let's me apart for 
7aQFot1gb0Y,so I could get my first two surprise 
NnQRppljPtk,I spent an afternoon at the LA Google 
1aHZX6UNVts,so apparently Frozen Cool Whip is 
pDxmaka1kwk,really what's your major oh it's 
ck6YJBDgavw,I'm a dietitian and I hate meal prepping 
GUAf4qm-vKM,I hate meal prepping so let's make super 
5mfqCV9X4F8,is not chicken it's actually shredded 
fhiYTPE4aKQ,I'm a dietitian and what I ate for lunch 
wIZXalKXqaA,rating Foods I had in Amsterdam I had to 
Fvh1eJeOupQ,come with me as I take a cooking class 
36gbl51LLDA,reading meals I had in London this 
oYWxNy7DNR4,what I ate in a day in London for 
IfTkrdu-Yfs,everything I ate on my 11 hour flight to 
